latitude,longitude,elevation,speed_measured,timestamp,discipline_from_name,tf_id
46.4996173,8.3019347,1355.098,26.0,20240127T120247500000,XC,11783
46.4996118,8.3019397,1354.967,25.9,20240127T120247600000,XC,11783
46.4996066,8.3019449,1354.86,25.7,20240127T120247700000,XC,11783
46.499601,8.30195,1354.872,25.8,20240127T120247800000,XC,11783
46.499595,8.3019539,1354.988,25.5,20240127T120247900000,XC,11783
46.4995896,8.3019577,1355.153,24.6,20240127T120248000000,XC,11783
46.4995844,8.3019614,1355.237,23.8,20240127T120248100000,XC,11783
46.4995789,8.3019661,1355.315,24.9,20240127T120248200000,XC,11783
46.4995725,8.3019708,1355.29,26.5,20240127T120248300000,XC,11783
46.4995673,8.3019752,1355.135,25.5,20240127T120248400000,XC,11783
46.4995618,8.3019802,1355.158,25.8,20240127T120248500000,XC,11783
46.4995563,8.3019857,1355.183,26.2,20240127T120248600000,XC,11783
46.4995519,8.3019916,1355.253,25.7,20240127T120248700000,XC,11783
46.4995472,8.3019971,1355.372,25.0,20240127T120248800000,XC,11783
46.4995426,8.3020024,1355.467,24.5,20240127T120248900000,XC,11783
46.4995382,8.302008,1355.478,24.4,20240127T120249000000,XC,11783
46.4995327,8.3020137,1355.43,25.3,20240127T120249100000,XC,11783
46.4995279,8.3020192,1355.314,25.0,20240127T120249200000,XC,11783
46.4995229,8.3020248,1355.327,25.1,20240127T120249300000,XC,11783
46.4995174,8.3020295,1355.344,24.6,20240127T120249400000,XC,11783
46.4995121,8.3020339,1355.487,24.3,20240127T120249500000,XC,11783
46.4995073,8.302038,1355.606,23.4,20240127T120249600000,XC,11783
46.4995021,8.3020422,1355.69,23.5,20240127T120249700000,XC,11783
46.4994969,8.3020472,1355.67,24.5,20240127T120249800000,XC,11783
46.4994912,8.302052,1355.607,25.1,20240127T120249900000,XC,11783
46.4994864,8.3020572,1355.562,24.7,20240127T120250000000,XC,11783
46.4994818,8.3020629,1355.537,24.8,20240127T120250100000,XC,11783
46.499477,8.3020694,1355.577,25.7,20240127T120250200000,XC,11783
46.4994734,8.3020757,1355.691,24.7,20240127T120250300000,XC,11783
46.4994691,8.3020814,1355.801,24.0,20240127T120250400000,XC,11783
46.4994657,8.3020875,1355.854,23.4,20240127T120250500000,XC,11783
46.4994612,8.3020944,1355.868,24.9,20240127T120250600000,XC,11783
46.4994563,8.302101,1355.812,25.6,20240127T120250700000,XC,11783
46.4994522,8.3021073,1355.701,24.9,20240127T120250800000,XC,11783
46.4994478,8.3021137,1355.631,25.0,20240127T120250900000,XC,11783
46.4994429,8.3021196,1355.697,24.6,20240127T120251000000,XC,11783
46.4994385,8.3021251,1355.788,23.9,20240127T120251100000,XC,11783
46.4994344,8.3021304,1355.91,23.1,20240127T120251200000,XC,11783
46.4994297,8.3021362,1355.92,23.9,20240127T120251300000,XC,11783
46.4994252,8.3021425,1355.897,24.9,20240127T120251400000,XC,11783
46.4994208,8.3021486,1355.77,24.8,20240127T120251500000,XC,11783
46.499417,8.3021551,1355.675,24.6,20240127T120251600000,XC,11783
46.4994128,8.3021625,1355.642,25.8,20240127T120251700000,XC,11783
46.4994096,8.3021701,1355.686,25.8,20240127T120251800000,XC,11783
46.4994064,8.3021772,1355.718,25.0,20240127T120251900000,XC,11783
46.4994031,8.3021842,1355.778,24.4,20240127T120252000000,XC,11783
46.4994,8.3021912,1355.833,24.0,20240127T120252100000,XC,11783
46.4993968,8.3021988,1355.834,24.8,20240127T120252200000,XC,11783
46.4993924,8.3022069,1355.724,26.3,20240127T120252300000,XC,11783
46.4993892,8.3022144,1355.628,25.6,20240127T120252400000,XC,11783
46.4993854,8.3022222,1355.576,25.8,20240127T120252500000,XC,11783
46.499381,8.3022294,1355.605,25.6,20240127T120252600000,XC,11783
46.4993771,8.3022363,1355.724,24.8,20240127T120252700000,XC,11783
46.4993728,8.302243,1355.765,24.7,20240127T120252800000,XC,11783
46.4993689,8.3022497,1355.834,24.5,20240127T120252900000,XC,11783
46.4993647,8.3022573,1355.834,26.0,20240127T120253000000,XC,11783
46.4993607,8.3022647,1355.721,26.2,20240127T120253100000,XC,11783
46.4993567,8.3022724,1355.625,26.5,20240127T120253200000,XC,11783
46.4993536,8.3022804,1355.584,26.5,20240127T120253300000,XC,11783
46.499351,8.3022889,1355.651,26.6,20240127T120253400000,XC,11783
46.4993478,8.302297,1355.665,26.3,20240127T120253500000,XC,11783
46.4993447,8.302305,1355.74,25.7,20240127T120253600000,XC,11783
46.4993424,8.3023131,1355.806,25.4,20240127T120253700000,XC,11783
46.4993389,8.3023213,1355.8,25.9,20240127T120253800000,XC,11783
46.4993353,8.3023302,1355.701,27.5,20240127T120253900000,XC,11783
46.4993317,8.3023392,1355.588,28.0,20240127T120254000000,XC,11783
46.4993291,8.3023483,1355.455,28.2,20240127T120254100000,XC,11783
46.4993266,8.3023574,1355.351,28.0,20240127T120254200000,XC,11783
46.499325,8.3023665,1355.415,27.2,20240127T120254300000,XC,11783
46.4993232,8.3023752,1355.503,26.2,20240127T120254400000,XC,11783
46.4993207,8.3023837,1355.548,25.7,20240127T120254500000,XC,11783
46.4993192,8.3023926,1355.609,26.0,20240127T120254600000,XC,11783
46.4993171,8.3024021,1355.582,27.1,20240127T120254700000,XC,11783
46.4993148,8.3024118,1355.505,27.9,20240127T120254800000,XC,11783
46.4993125,8.3024211,1355.338,27.9,20240127T120254900000,XC,11783
46.4993116,8.3024311,1355.306,28.4,20240127T120255000000,XC,11783
46.4993103,8.3024408,1355.28,28.1,20240127T120255100000,XC,11783
